Country,o,c,e,a,n,Count,o_std,c_std,e_std,a_std,n_std
Ireland,0.7423034209041092,0.5371481693884611,0.5219609663735504,0.6382835399712345,0.5675020936879859,18864,0.168381190618775,0.19595343702479764,0.22637576481738322,0.16717090156757122,0.21625636067384676
Isle of Man,0.7433176100628931,0.519752358490566,0.511497641509434,0.6346305031446541,0.5683962264150944,215,0.16510542378362641,0.19248800833837446,0.2231059348305235,0.1801578202064111,0.20200203200354166
Israel,0.7583074928371959,0.5652721865593153,0.5333546404090959,0.6132289739963007,0.5171295288869546,9344,0.15465469084781264,0.20059653161253266,0.22058056738737938,0.16627358135089743,0.22051370739861073
Italy,0.7731107301276295,0.5227578101613738,0.4698351225950418,0.591518525321795,0.5924896930361662,25048,0.14626618998225688,0.2023746077401673,0.2321502040879913,0.17516975954846864,0.21143305579359212
Ivory Coast,0.7441123188405797,0.5301177536231885,0.4753170289855072,0.620697463768116,0.5869565217391305,93,0.1355205675983647,0.20936931362065694,0.20605274977474328,0.19110389896877314,0.20553544069256513
Jamaica,0.7147260273972603,0.5735667174023339,0.44913115169964485,0.6993277524099442,0.5384195839675292,3362,0.15124953578141603,0.18908213506636767,0.20233514215601664,0.15394547470407563,0.2062158297798267
Japan,0.748344355779041,0.5070529988339891,0.47601023903221107,0.6085597033960064,0.558193503133654,9321,0.1635881142728964,0.18995982441480075,0.216947079474018,0.1651741597965289,0.20811503585005733
Jersey,0.722127092846271,0.5124619482496195,0.5039954337899544,0.6249048706240486,0.5766742770167428,224,0.17262266969426746,0.19716145986713846,0.2213622118320294,0.1711400072936005,0.21163113114725113
Jordan,0.7426548829510523,0.6008906754946007,0.5441101127138015,0.6566711988649799,0.5107097816662726,4292,0.15028846014982286,0.20300169511305208,0.21329577099033017,0.16666467146142505,0.21421750214508198
Kazakhstan,0.7394056008902077,0.5260648491592482,0.49370208951533134,0.5825374010880316,0.54706818743818,2732,0.1527633842174528,0.18955871632573024,0.2041172911712886,0.15852539011727146,0.18795586725839003
Kenya,0.7630181430785123,0.6078765280647382,0.47615627152203854,0.6824315599173554,0.5087702307162534,7945,0.15265884047025752,0.20595218900487786,0.2262919881867198,0.1685511471189879,0.2141731814758916
Kosovo,0.7658730158730158,0.5639739229024943,0.5047619047619047,0.6270975056689343,0.5887471655328799,747,0.14460633859821395,0.18644102679305077,0.20255029875087585,0.16627691581271714,0.19117489071817756
Kuwait,0.7312538296568627,0.5485696231617647,0.484930300245098,0.6430855545343137,0.5671338848039216,2237,0.1562528160196246,0.19057456987477017,0.20706002360972187,0.16395370167019804,0.1931406474668403
Kyrgyzstan,0.7707930367504836,0.5719696969696969,0.5520631850419084,0.6080754352030948,0.5147082527401676,521,0.14633714097039136,0.20465540180981834,0.20433264935939296,0.16594036060533993,0.2046412825473644
Laos,0.7411380597014925,0.5825559701492538,0.45211442786069655,0.5836442786069651,0.5691853233830846,140,0.13412731723610766,0.1790950109598885,0.18129761370732184,0.14686986350149472,0.16893430609151927
Latvia,0.7465621824186992,0.5226911839430894,0.47360105436991873,0.585254700203252,0.584690993394309,2663,0.15270868207922753,0.18559742912457902,0.22105705342793178,0.16675484615823508,0.1989781674630821
Lebanon,0.7533675234799803,0.5740443236117977,0.5297207118141374,0.6458848245180425,0.5667119789092107,4102,0.1530749854563319,0.188650912542076,0.21174374285784497,0.16603712197669462,0.19366983968849225
Lesotho,0.7135854341736695,0.5437675070028011,0.43574929971988796,0.699404761904762,0.5435924369747899,119,0.16529757430855138,0.2164281022765568,0.2460190908584764,0.147975873121588,0.17326690070029466
Libya,0.782394366197183,0.4911384976525821,0.40064553990610324,0.5970070422535211,0.5980633802816901,368,0.14535197188508478,0.1862888924873196,0.1965570530049318,0.18279858975572574,0.19565824277215377
Lithuania,0.7473282954748703,0.5203004829189769,0.4816520598581053,0.5857591068979908,0.5844810111488702,5731,0.15121857138000847,0.1944253228254988,0.22288746396200268,0.16803469173950872,0.20311537822019243
Luxembourg,0.7575608152531229,0.5388519066403682,0.49969181459566075,0.6170282708744247,0.547809829059829,1032,0.15272386232352747,0.19170709034836156,0.21634874654977054,0.16960172513579408,0.21982616882482642
Macao,0.7108392295597484,0.5238797169811321,0.47533411949685533,0.6050511006289309,0.586625393081761,429,0.1560433870559788,0.16740054015208078,0.19793714625751485,0.14696955438918896,0.17679530513680547
Madagascar,0.753129890453834,0.5017605633802817,0.4174491392801252,0.607981220657277,0.5728677621283255,217,0.1448133162761625,0.19927475370094982,0.22543642311158554,0.16507357695644326,0.19761774444133684
Malawi,0.7558712121212121,0.5809659090909091,0.5035037878787879,0.6694128787878788,0.5305871212121213,224,0.1523438511719426,0.20744750358149325,0.21764200473031256,0.1680591166156152,0.20562729471943442
Malaysia,0.7049241686395556,0.5387273117763993,0.47089926278881594,0.6588581467829423,0.5847078001538354,67926,0.14487536588433983,0.17796237728215397,0.19390023818875446,0.14024136158706862,0.1786534270929186
Maldives,0.7221558317399618,0.5721598151688974,0.4786886551943913,0.6815447737412365,0.5929732313575525,1135,0.14704518265172073,0.1938486585589423,0.20680002872776598,0.16480913965028354,0.19394283064382542
Malta,0.7392693681625363,0.5647884572449207,0.5194797945970083,0.652363808885912,0.5564718687206965,1542,0.16430665356404994,0.19416013768564727,0.22113582672736334,0.16860960068578923,0.21313788048277987
Mauritius,0.7549194991055456,0.5557356887298748,0.4839557245080501,0.6572562611806798,0.5709414132379249,1145,0.15432126779820354,0.19046910859865646,0.22628897254906413,0.16073845383165644,0.20828991817712852
Mexico,0.7556974991508152,0.5498285708220109,0.4984988889832428,0.6283498570538949,0.5504734205163043,24254,0.15133434465165627,0.18657878592605662,0.21846636235182856,0.16543027235676563,0.1973126122043001
