Cluster,Latitude,Longitude,o,c,e,a,n,o_std,c_std,e_std,a_std,n_std,Count,City
22,39.7682857874725,-105.01835564171604,0.7398333128911512,0.5645194219703422,0.5185804741685335,0.6555045048361035,0.5486760355304227,0.16407619139576698,0.18795879713446834,0.22426379805404448,0.16080016811655548,0.21304968437984087,18483,"Arvada, Colorado"
23,35.58751322957199,-82.55633826199741,0.7965167548500881,0.5505125661375662,0.5089285714285714,0.6726741622574957,0.564539241622575,0.1496543464547412,0.1963359853861648,0.2229001521305569,0.1585480157760053,0.2105712535848014,771,"Asheville, North Carolina"
24,33.94710399780942,-83.39584578313253,0.7336432506887053,0.5654884887839433,0.5423676702085793,0.6669495277449823,0.5611348878394333,0.1684733194837178,0.1945400294143812,0.2349838924875443,0.1633517176090774,0.2069961805772945,1826,"Athens, Georgia"
25,39.32789025157233,-82.09993584905659,0.7422752808988764,0.5872124130551096,0.5437734082397003,0.7164927768860353,0.5569154628143392,0.1580170894663089,0.1895255035368559,0.2282859507815867,0.1589792378928916,0.2081393696986173,636,"Athens, Ohio"
26,33.76489326939908,-84.3366016645777,0.753920235691536,0.5686819056862095,0.5371945586972993,0.6668713564210667,0.5387782915093426,0.1642708460071367,0.19544217756254806,0.2281644575587273,0.16600156706176633,0.21918417131917983,18295,"Atlanta, Georgia"
27,32.55893672680413,-85.47874325601374,0.67939364461738,0.6082558726041216,0.5778390257962243,0.6817985300475573,0.5068453667675458,0.164111512542772,0.1769109217465308,0.2173445500909135,0.14485024972368,0.1914189996608545,2328,"Auburn, Alabama"
28,47.631242653829695,-122.2089589734137,0.7458496905594472,0.5592297856978442,0.5085861336964154,0.6501924146806355,0.5521408520308864,0.16086711349079116,0.18954629675845533,0.22371764239197164,0.1641066630395091,0.21466486657238898,23711,"Auburn, Washington"
29,33.47633595800525,-82.04311719160106,0.7241213151927437,0.5719387755102041,0.4879818594104309,0.6832482993197279,0.5465702947845805,0.1640866893687555,0.1878940043163171,0.2252280634526383,0.1727458170412028,0.2171421657585338,762,"Augusta, Georgia"
30,41.747909630134274,-88.14192201393986,0.7073671783754145,0.5564949047625007,0.5250075281429655,0.6739590048837264,0.5667669080501676,0.16686646610229455,0.185294152907092,0.2242130480534631,0.16118942109394363,0.20428125970267566,3233,"Aurora, Illinois"
31,30.270841294757364,-97.745417749051,0.7635419959953631,0.5603352127024274,0.5364039940984298,0.6542180419433028,0.5423758211262164,0.1596679606862442,0.1920992704491517,0.2244036289103053,0.1634744798346412,0.2149365045582009,9747,"Austin, Texas"
