State,o,c,e,a,n,Count,o_std,c_std,e_std,a_std,n_std,State_Abbrev
Maine,0.7404270043059258,0.552000034174014,0.5103162805003075,0.6647870958922835,0.5688051055977035,5041,0.1691911634672764,0.19661489461965728,0.22514445089072127,0.16511335214728315,0.21549739971658646,ME
Maryland,0.7423800784483069,0.5553448906641717,0.510549737905886,0.6588075917329399,0.5614519234229371,28828,0.163238364299004,0.19144071326181022,0.22483506258981364,0.16587694997584815,0.21148087703225618,MD
Massachusetts,0.7420964232937441,0.5633734241876928,0.5266901784248262,0.6565664167259592,0.5621676199076862,37814,0.16453222825172512,0.19431216848379315,0.22383280605476483,0.16327676741154087,0.21354107945864714,MA
Michigan,0.7308193133975671,0.5601198350889455,0.5159611976436523,0.6662906869352504,0.5609237972808814,41522,0.1682795645613453,0.19276175724906267,0.22617944420726507,0.16375421440239482,0.2139792411339761,MI
Minnesota,0.7139259426277202,0.5599870534155709,0.5166681213390745,0.6689305006012646,0.5526870223825594,35209,0.17078801590490592,0.18779720322416787,0.22349955477364802,0.1582277906582949,0.20724643677525684,MN
Mississippi,0.7176528333846628,0.5601645108305102,0.5059895031310954,0.676778564829073,0.5604468227081408,6647,0.17204131403699194,0.19326929237516396,0.2255970627042646,0.1670136567456043,0.21293981386256233,MS
Missouri,0.7260115120708509,0.5630332444091952,0.522873180960621,0.6679982755927275,0.5576850282995061,28491,0.16865263759420135,0.1916409286424809,0.22688570375831021,0.16388330130498982,0.21335853356814488,MO
Montana,0.7404663970998326,0.5547673824130879,0.5013943112102621,0.6619666759620747,0.5571783788808329,3779,0.1690375221452336,0.1907144710006191,0.22730450299848595,0.15897467081371316,0.21150194369257333,MT
Nebraska,0.7073473484048173,0.5625814317909712,0.5126197267413197,0.6698116944855271,0.5579750334530601,9817,0.17314709041078424,0.18698568886623704,0.2251054490963232,0.16080915660795359,0.2077862424033188,NE
Nevada,0.739135559801112,0.5513676611066206,0.5013211232762633,0.6619302177480589,0.5675732358488256,13949,0.16025808829456553,0.18914471084816362,0.22269910332979942,0.16414412668443978,0.2129318830950771,NV
New Hampshire,0.7274161778237865,0.5661303772716816,0.5205709397285484,0.6667601219231654,0.5633986082355648,5991,0.16820500877854597,0.19180596330229122,0.22985247223422994,0.16223062786035344,0.21492540515539138,NH
New Jersey,0.733264876387553,0.5572817826535298,0.5201352241315067,0.6576015372483773,0.5634006637724109,39770,0.16592642629036172,0.19147970563850078,0.22484056069668318,0.16713074567923283,0.2114610445478282,NJ
New Mexico,0.7431025997336577,0.5581574604828904,0.498606768571594,0.6659537664292745,0.5582515488390944,5951,0.1671168948707099,0.19388566676289296,0.22374266458657832,0.16684307816795696,0.21936677296781787,NM
New York,0.7460899502393219,0.5621121774949696,0.5218826708526038,0.6560736472083802,0.5620068267295962,98047,0.16506216892689884,0.19234516314007144,0.22500375343034154,0.16594031579962565,0.21353527809659517,NY
North Carolina,0.7219605375707331,0.5605749934201869,0.5171733122779313,0.6644500921173838,0.5542378108961705,52050,0.16822540146904083,0.18985439689211614,0.22453932609922264,0.16559155583036236,0.209951864607591,NC
North Dakota,0.6855899992359996,0.5633213003285201,0.5054053021621209,0.6727022690809076,0.555671747268699,4444,0.17901660328567578,0.185161909428628,0.22621564166657288,0.162850398325114,0.20850312810135693,ND
Ohio,0.721408070691819,0.572695476003899,0.5240725521301198,0.6790529455986443,0.5544053375636296,54174,0.16894267670411894,0.19015693546624468,0.2261757446570686,0.16591889445675648,0.21224913809362017,OH
Oklahoma,0.7322738667086648,0.5548369950389794,0.5085029661128173,0.6718573640969104,0.5682944195080978,13068,0.16741758680188482,0.19115578593263904,0.22933094394943124,0.1631622165433765,0.2119918854558835,OK
Oregon,0.7448276647532769,0.5511107748577974,0.5065626342301535,0.6589114178609082,0.5646371067463262,26357,0.16559869145910588,0.19040760366610499,0.2230322032134828,0.16116980783213952,0.21374424397582478,OR
Pennsylvania,0.7277294547896476,0.5633125673043183,0.5197715888054013,0.6642777414788196,0.5667749585586894,56731,0.1686551306299567,0.19113209450671975,0.2256014032211501,0.16357361459073494,0.21068842123463774,PA
Rhode Island,0.7430595604254774,0.5739218890170447,0.528847078046905,0.6651848647955914,0.5609781494297066,5338,0.1619817338234643,0.18950134944692149,0.22264899019877227,0.1634623155124428,0.20813981940705295,RI
South Carolina,0.7310802859743778,0.5682644485890006,0.5176263904616,0.6691700526210618,0.5543015497679789,15507,0.1679082959238522,0.19281200365045753,0.2290584738881419,0.16770558333714908,0.21360142084111083,SC
South Dakota,0.6927570093457944,0.5686915887850468,0.5144145898234683,0.6655828141225338,0.5602349428868121,3333,0.17730597270532727,0.18411276960113038,0.22379830544652576,0.16303379067230303,0.207309946100341,SD
Tennessee,0.7290538210770484,0.5579556140680835,0.5151291455081186,0.6652866591436273,0.5619914111967902,27320,0.17079706328550046,0.1925916594529939,0.2283386741606929,0.1676418627219672,0.21342273051097704,TN
Texas,0.7300117020021241,0.5543010594081476,0.5123287312014055,0.661611368970355,0.5603641387719781,131054,0.16726567966968076,0.19062258585170871,0.22614852914494854,0.16725097584401635,0.21154878619490877,TX
Utah,0.7178519586946935,0.5639538622666471,0.5302179798128277,0.6762212749277279,0.541559483561174,27957,0.16829657408826182,0.18528961455619805,0.22697426975796944,0.15924597603654042,0.20997377617215152,UT
Vermont,0.7387425900592796,0.5604266415868673,0.5179691062471501,0.6599620953032376,0.5631127450980392,3007,0.1673336301052767,0.18871446852403934,0.21986850881697254,0.16248211108145788,0.21238206872813506,VT
Virginia,0.7359188956605158,0.5607449318605044,0.5198762238304836,0.6600995993454094,0.5545962417470798,48707,0.16410788568667636,0.19353752324773496,0.22609132565528542,0.16679029859556224,0.21286945391804946,VA
Washington,0.7440145938127415,0.5530500924706576,0.50674999820096,0.65518024582083,0.5595176413865561,47646,0.1637950150259477,0.19058705590295544,0.22404179523569195,0.16284892687807237,0.21418736607789954,WA
"Washington, D.C.",0.7803030303030304,0.5119724025974026,0.4333062770562771,0.6124864718614719,0.5670995670995671,311,0.15496719902609718,0.20513038158379826,0.23099935759772305,0.1785507551011566,0.23378401335481105,
West Virginia,0.7170768566493956,0.5614843382006595,0.5032187156539488,0.6741688255613126,0.5839172162034856,4382,0.17129305846208165,0.19189754012068252,0.23009228092325804,0.17026518659754167,0.2173094910255064,WV
Wisconsin,0.70294100652915,0.5681248916623332,0.525492575258566,0.669846738313977,0.5566714335240076,29580,0.17223789171596227,0.1867812932184696,0.22295759352480704,0.16216815265552992,0.2082012682955852,WI
Wyoming,0.7382776550708632,0.5662962451684153,0.4940640530093871,0.6654012516105283,0.5563454813178722,1850,0.16574158890370635,0.1976786682542218,0.23157893421105671,0.16161731287337164,0.215994579314172,WY
