Cluster,Latitude,Longitude,o,c,e,a,n,o_std,c_std,e_std,a_std,n_std,Count,City
165,33.945737903225805,-118.20430080645161,0.7407984293200714,0.5482285626194026,0.5251805309693335,0.6545824804601642,0.5638754213001914,0.1628290083044207,0.1877371907144948,0.21916630876458348,0.16071941757670702,0.20367910845999074,490681,Los Angeles
166,39.7998,-86.15498888888888,0.7053397269180754,0.5582737321196359,0.5192891200693541,0.6623049414824448,0.5540881014304291,0.17171652881397928,0.19338059801276733,0.22579797050257733,0.16304431569028408,0.20317865196508758,69210,Indianapolis
167,30.316511538461537,-81.63547692307692,0.7342506057459329,0.5318232952578748,0.5136725510557286,0.6628158532364139,0.5629326756663204,0.16973214555304536,0.1947193604062311,0.2276548260411095,0.16717089927261092,0.21987845898390956,25038,Jacksonville
168,34.75945,-77.41725,0.7342506057459329,0.5318232952578748,0.5136725510557286,0.6628158532364139,0.5629326756663204,0.16973214555304536,0.1947193604062311,0.2276548260411095,0.16717089927261092,0.21987845898390956,1926,Jacksonville
169,33.8081,-85.7852,0.7342506057459329,0.5318232952578748,0.5136725510557286,0.6628158532364139,0.5629326756663204,0.16973214555304536,0.1947193604062311,0.2276548260411095,0.16717089927261092,0.21987845898390956,963,Jacksonville
170,34.919,-92.1419,0.7342506057459329,0.5318232952578748,0.5136725510557286,0.6628158532364139,0.5629326756663204,0.16973214555304536,0.1947193604062311,0.2276548260411095,0.16717089927261092,0.21987845898390956,963,Jacksonville
171,39.7343,-90.2291,0.7342506057459329,0.5318232952578748,0.5136725510557286,0.6628158532364139,0.5629326756663204,0.16973214555304536,0.1947193604062311,0.2276548260411095,0.16717089927261092,0.21987845898390956,963,Jacksonville
172,31.9592,-95.2673,0.7342506057459329,0.5318232952578748,0.5136725510557286,0.6628158532364139,0.5629326756663204,0.16973214555304536,0.1947193604062311,0.2276548260411095,0.16717089927261092,0.21987845898390956,963,Jacksonville
173,29.9387,-81.4206,0.7342506057459329,0.5318232952578748,0.5136725510557286,0.6628158532364139,0.5629326756663204,0.16973214555304536,0.1947193604062311,0.2276548260411095,0.16717089927261092,0.21987845898390956,963,Jacksonville
174,39.08723,-94.583578,0.7285800787163184,0.5622918558885862,0.5251286709052376,0.6707917045110505,0.5579586739327884,0.16884949269269275,0.19282719522269554,0.22581065209698203,0.1563406752098177,0.20954541715630426,55050,Kansas City
175,35.95891304347826,-83.96645217391304,0.7088662009107558,0.5550602258960037,0.5201564967283321,0.6652153414871546,0.5633361551703263,0.17346201521044063,0.19008330198056542,0.22143420806259112,0.16337612114774405,0.20609748995335864,15555,Knoxville
176,41.3157,-93.10275,0.7082374744376277,0.5549910531697342,0.5196510736196319,0.6653565950920245,0.5636822597137015,0.1733933340897825,0.1901994951994005,0.22152443254544646,0.16351348262127088,0.20594007509134502,1304,Knoxville
177,34.69266666666667,-118.14603333333332,0.7033547794117648,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.16785405622855873,0.18033609851281832,0.22174111210440506,0.1640403259200839,0.20720635490535075,1632,Lancaster
178,44.4946,-71.5654,0.7033547794117647,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.1678540562285587,0.18033609851281834,0.22174111210440506,0.1640403259200839,0.20720635490535075,544,Lancaster
179,34.72235,-80.7692,0.7033547794117647,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.1678540562285587,0.18033609851281834,0.22174111210440506,0.1640403259200839,0.20720635490535075,1088,Lancaster
180,39.7184,-82.6073,0.7033547794117647,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.1678540562285587,0.18033609851281834,0.22174111210440506,0.1640403259200839,0.20720635490535075,544,Lancaster
181,42.8445,-90.7025,0.7033547794117647,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.1678540562285587,0.18033609851281834,0.22174111210440506,0.1640403259200839,0.20720635490535075,544,Lancaster
182,42.4523,-71.6769,0.7033547794117647,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.1678540562285587,0.18033609851281834,0.22174111210440506,0.1640403259200839,0.20720635490535075,544,Lancaster
183,37.7431,-76.5014,0.7033547794117647,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.1678540562285587,0.18033609851281834,0.22174111210440506,0.1640403259200839,0.20720635490535075,544,Lancaster
184,34.7471,-118.3687,0.7033547794117647,0.5443091299019608,0.4982383578431373,0.6637561274509803,0.5897671568627451,0.1678540562285587,0.18033609851281834,0.22174111210440506,0.1640403259200839,0.20720635490535075,544,Lancaster
185,36.14351,-115.14072666666667,0.7197225634725635,0.5408647283647284,0.5073454135954136,0.661761193011193,0.5716028528528528,0.15969250881834376,0.18657091001154186,0.21726608865988378,0.1584116141282422,0.20395543035805577,73260,Las Vegas
186,35.5939,-105.2239,0.7197225634725635,0.5408647283647284,0.5073454135954136,0.661761193011193,0.5716028528528528,0.15969250881834376,0.18657091001154186,0.21726608865988378,0.1584116141282422,0.20395543035805574,2442,Las Vegas
187,38.02101428571429,-84.50408571428571,0.7244575584167858,0.54646518836433,0.5269134477825465,0.660675965665236,0.5729315689079638,0.1630309598398417,0.19136340814231964,0.22652826889756825,0.1613457927958287,0.2044874692640748,9786,Lexington
188,37.84375,-79.423,0.7244575584167858,0.54646518836433,0.5269134477825465,0.660675965665236,0.5729315689079638,0.1630309598398417,0.19136340814231964,0.22652826889756825,0.1613457927958287,0.2044874692640748,1398,Lexington
189,35.83943333333334,-80.27636666666666,0.7244575584167858,0.54646518836433,0.5269134477825465,0.660675965665236,0.5729315689079638,0.1630309598398417,0.19136340814231964,0.22652826889756825,0.1613457927958287,0.2044874692640748,2097,Lexington
190,40.7829,-99.7465,0.7244575584167858,0.54646518836433,0.5269134477825465,0.660675965665236,0.5729315689079638,0.1630309598398417,0.19136340814231964,0.22652826889756825,0.1613457927958287,0.2044874692640748,1398,Lexington
191,35.65,-88.39394999999999,0.7244575584167858,0.54646518836433,0.5269134477825465,0.660675965665236,0.5729315689079638,0.1630309598398417,0.19136340814231964,0.22652826889756825,0.1613457927958287,0.2044874692640748,1398,Lexington
192,40.6321,-88.8042,0.7244575584167858,0.54646518836433,0.5269134477825465,0.660675965665236,0.5729315689079638,0.1630309598398417,0.19136340814231964,0.22652826889756825,0.1613457927958287,0.2044874692640748,699,Lexington
193,35.0377,-97.2609,0.7244575584167858,0.54646518836433,0.5269134477825465,0.660675965665236,0.5729315689079638,0.1630309598398417,0.19136340814231964,0.22652826889756825,0.1613457927958287,0.2044874692640748,699,Lexington
194,39.2298,-93.91935,0.7337021727826901,0.5469775741018437,0.5241871455780203,0.6643490270093249,0.5585666880684397,0.1641420521320597,0.19134593342437134,0.2236439328693568,0.1612614310902105,0.20870513305180066,1529,Lexington
195,40.80961875,-96.686475,0.7038091068301225,0.5376532399299475,0.48704757734967896,0.6504305312317571,0.5885507880910683,0.17481687674950705,0.18499135856407753,0.218836641707615,0.15958596753182946,0.19724356028756398,9136,Lincoln
196,40.1444,-89.3648,0.7038091068301225,0.5376532399299475,0.48704757734967896,0.6504305312317571,0.5885507880910683,0.17481687674950705,0.18499135856407753,0.218836641707615,0.15958596753182946,0.19724356028756398,571,Lincoln
197,43.513,-111.964,0.7038091068301225,0.5376532399299475,0.48704757734967896,0.6504305312317571,0.5885507880910683,0.17481687674950705,0.18499135856407753,0.218836641707615,0.15958596753182946,0.19724356028756398,571,Lincoln
198,38.8897,-121.2873,0.7038091068301225,0.5376532399299475,0.48704757734967896,0.6504305312317571,0.5885507880910683,0.17481687674950705,0.18499135856407753,0.218836641707615,0.15958596753182946,0.19724356028756398,571,Lincoln
199,45.3489,-68.5061,0.7038091068301225,0.5376532399299475,0.48704757734967896,0.6504305312317571,0.5885507880910683,0.17481687674950705,0.18499135856407753,0.218836641707615,0.15958596753182946,0.19724356028756398,571,Lincoln
200,44.0619,-71.6733,0.7038091068301225,0.5376532399299475,0.48704757734967896,0.6504305312317571,0.5885507880910683,0.17481687674950705,0.18499135856407753,0.218836641707615,0.15958596753182946,0.19724356028756398,571,Lincoln
201,35.9564,-94.4279,0.7038091068301225,0.5376532399299475,0.48704757734967896,0.6504305312317571,0.5885507880910683,0.17481687674950705,0.18499135856407753,0.218836641707615,0.15958596753182946,0.19724356028756398,571,Lincoln
202,30.3574,-89.1649,0.7218184754521964,0.5430124892334195,0.5157192075796727,0.6725613695090439,0.5763350559862187,0.16196941915954075,0.1796856515251364,0.21147554782158046,0.1494312885790704,0.19488254331555016,774,Long Beach
203,46.377,-124.0468,0.7218184754521964,0.5430124892334195,0.5157192075796727,0.6725613695090439,0.5763350559862187,0.16196941915954075,0.1796856515251364,0.21147554782158046,0.1494312885790704,0.19488254331555016,774,Long Beach
204,34.413,-118.4269,0.7506916422108095,0.5517012105649303,0.5303214416727806,0.6530707385668867,0.5571693873807777,0.16304790307367234,0.19024196666250143,0.22063815010968957,0.16304376235046775,0.2065639221272599,5452,Los Angeles
